id,date,name,description,is_active,created_at
1,2025-01-01,New Year's Day,,1,2025-06-24 13:06:49.668499
2,2025-01-26,NRM Liberation Day,,1,2025-06-24 13:07:19.553246
3,2025-02-16,Archbishop Janani Luwum Day,,1,2025-06-24 13:09:50.795564
4,2025-04-04,Good Friday,,1,2025-06-26 12:17:52.245391
5,2025-10-09,Independence Day,,1,2025-06-26 12:18:21.106132
6,2025-12-25,Christmas Day,,1,2025-06-26 12:57:11.431020
8,2025-06-09,National Heroes Day,,1,2025-07-01 06:47:13.148963
9,2025-06-03,Uganda Martyrs Day,,1,2025-07-01 06:48:12.767073
10,2025-06-06,Eid,,1,2025-07-01 06:49:24.000525
11,2025-05-01,Labour Day,,1,2025-07-01 08:11:12.521764
12,2025-04-18,Good Friday,,1,2025-07-01 08:11:51.771667
13,2025-04-21,Easter Monday,,1,2025-07-01 08:12:30.835071
